Date,Equal Weight,Inverse Volatility,Risk Parity,S&P 500
2016-03-11,0.019654468273365276,0.017905468593669826,0.019654468273365276,0.01639550053418848
2016-03-14,-0.0016031445208204262,-0.001526516358717275,-0.0016031445208204262,-0.001260972921287129
2016-03-15,-0.00562442019308159,-0.003828947590229702,-0.00562442019308159,-0.0018369416879204792
2016-03-16,0.009231199612105102,0.007812187022140647,0.009231199612105102,0.005600351545632654
2016-03-17,0.009339354626143964,0.009338341572787142,0.009339354626143964,0.006595236486620859
2016-03-18,0.005770461421221135,0.004760532063897618,0.005770461421221135,0.004405643688967897
2016-03-21,-0.0007234319583386481,-0.0007128997127089043,-0.0007234319583386481,0.0009855772666846896
2016-03-22,0.0003714058248360417,-0.00013210506103645587,0.0003714058248360417,-0.000877387766836879
2016-03-23,-0.009684628325021588,-0.007129614906338181,-0.009684628325021588,-0.006386031602501285
2016-03-24,-0.0008355599872419948,-0.0010902703223881274,-0.0008355599872419948,-0.0003780702927851376
2016-03-28,0.001584743487807758,0.002007595159960357,0.001584743487807758,0.0005452554858313974
2016-03-29,0.012337151611293878,0.011788248393243266,0.012337151611293878,0.008816651779288476
2016-03-30,0.0033949804753032656,0.003187034989096682,0.0033949804753032656,0.004350315260639448
